shoe_id,brand,model,category,size,price_in_inr,stock,color
1,Liberty,Liberty Ultra,Running,10,600,17,Black
2,Woodland,Woodland Flex,Casual,10,5000,43,Red
3,Adidas,Adidas Prime,Sports,10,4600,18,White
4,Metro,Metro Elite,Sandals,8,5700,52,Red
5,Adidas,Adidas Classic,Casual,10,2100,69,Gray
6,Adidas,Adidas Ultra,Sports,8,4500,88,Gray
7,Woodland,Woodland Flex,Casual,8,2800,57,White
8,Nike,Nike Pro,Flip-flops,8,2300,55,Black
9,Bata,Bata Pro,Flip-flops,7,3100,12,Red
10,Bata,Bata Zoom,Flip-flops,6,4200,23,Tan
11,Adidas,Adidas Pro,Running,11,1400,19,Brown
12,Reebok,Reebok Elite,Casual,10,1400,13,Gray
13,Puma,Puma Classic,Sandals,7,3800,57,Black
14,Bata,Bata Edge,Sandals,8,5700,30,Tan
15,Relaxo,Relaxo Max,Sports,9,3400,67,Tan
16,Puma,Puma Elite,Casual,8,4700,92,Black
17,Nike,Nike Flex,Running,6,2400,50,Gray
18,Woodland,Woodland Max,Sports,8,900,98,Red
19,Adidas,Adidas Zoom,Sports,10,1800,66,Green
20,Nike,Nike Ultra,Casual,7,3400,19,Green
21,Adidas,Adidas Ultra,Formal,8,4700,47,Blue
22,Liberty,Liberty Max,Flip-flops,9,5600,30,Green
23,Reebok,Reebok Elite,Running,10,5800,86,Green
24,Relaxo,Relaxo Pro,Sandals,10,5900,29,Blue
25,Puma,Puma Elite,Running,10,5200,88,Red
26,Bata,Bata Comfort,Casual,7,3500,97,White
27,Red Tape,Red Tape Pro,Flip-flops,11,4700,23,Red
28,Nike,Nike Comfort,Sports,9,2200,66,Red
29,Liberty,Liberty Edge,Running,9,3800,25,Tan
30,Adidas,Adidas Pro,Running,8,2900,21,Red
31,Red Tape,Red Tape Elite,Running,7,3800,98,White
32,Nike,Nike Elite,Sports,9,1300,65,Gray
33,Puma,Puma Zoom,Sandals,10,3900,45,Navy
34,Nike,Nike Ultra,Formal,9,4900,53,Brown
35,Relaxo,Relaxo Pro,Flip-flops,6,2600,43,Tan
36,Relaxo,Relaxo Prime,Running,7,2300,54,Navy
37,Puma,Puma Max,Flip-flops,9,1600,72,Navy
38,Bata,Bata Prime,Sandals,7,2200,98,Blue
39,Reebok,Reebok Ultra,Casual,10,5700,52,Blue
40,Red Tape,Red Tape Comfort,Running,9,4300,18,Green
41,Liberty,Liberty Classic,Running,7,1500,53,Green
42,Puma,Puma Zoom,Flip-flops,11,3700,58,Brown
43,Relaxo,Relaxo Zoom,Sports,11,5000,40,Green
44,Red Tape,Red Tape Comfort,Sports,11,1000,20,Black
45,Reebok,Reebok Elite,Running,6,600,11,Blue
46,Adidas,Adidas Classic,Sandals,11,1100,40,Navy
47,Liberty,Liberty Elite,Running,8,4600,46,Tan
48,Bata,Bata Max,Casual,8,4500,14,Tan
49,Liberty,Liberty Flex,Sports,7,1200,62,Green
50,Bata,Bata Elite,Running,7,4800,51,Blue
51,Adidas,Adidas Classic,Sandals,8,1600,61,White
52,Metro,Metro Max,Casual,10,3000,71,White
53,Adidas,Adidas Flex,Casual,8,1500,25,Green
54,Adidas,Adidas Comfort,Sports,11,3600,22,White
55,Adidas,Adidas Ultra,Flip-flops,6,5600,92,White
56,Puma,Puma Pro,Running,10,6000,39,Blue
57,Red Tape,Red Tape Max,Casual,10,4300,22,Gray
58,Adidas,Adidas Comfort,Flip-flops,10,1400,15,White
59,Red Tape,Red Tape Pro,Running,11,5700,10,Blue
60,Adidas,Adidas Ultra,Flip-flops,8,2600,94,Tan
61,Relaxo,Relaxo Ultra,Sandals,7,900,34,Blue
62,Nike,Nike Classic,Sports,9,5600,53,Brown
63,Liberty,Liberty Ultra,Sandals,11,3500,45,Red
64,Adidas,Adidas Max,Flip-flops,10,2600,80,Black
65,Reebok,Reebok Elite,Formal,10,5000,26,Green
66,Reebok,Reebok Comfort,Casual,8,2200,75,Red
67,Liberty,Liberty Pro,Running,6,1400,78,White
68,Woodland,Woodland Classic,Casual,9,2700,13,Red
69,Metro,Metro Zoom,Running,10,3500,68,Blue
70,Puma,Puma Pro,Running,6,1400,17,Brown
71,Metro,Metro Zoom,Formal,7,1100,81,Blue
72,Puma,Puma Flex,Casual,9,5300,72,Gray
73,Nike,Nike Comfort,Casual,9,2000,50,Gray
74,Metro,Metro Ultra,Casual,9,600,26,White
75,Puma,Puma Classic,Sandals,10,1300,58,Brown
76,Bata,Bata Prime,Flip-flops,9,500,48,Red
77,Adidas,Adidas Zoom,Formal,6,2500,69,Black
78,Metro,Metro Edge,Sports,6,5300,91,White
79,Liberty,Liberty Ultra,Flip-flops,10,5400,91,Tan
80,Nike,Nike Pro,Formal,8,3800,23,Navy
81,Reebok,Reebok Zoom,Casual,6,2500,19,White
82,Metro,Metro Flex,Sandals,10,4900,65,Tan
83,Red Tape,Red Tape Flex,Sports,10,4200,39,Gray
84,Relaxo,Relaxo Comfort,Running,9,5900,59,Gray
85,Adidas,Adidas Ultra,Casual,11,4500,85,Navy
86,Adidas,Adidas Ultra,Sports,9,4800,69,Tan
87,Adidas,Adidas Comfort,Sandals,11,1500,41,Tan
88,Relaxo,Relaxo Classic,Casual,10,4200,75,White
89,Liberty,Liberty Pro,Formal,10,5300,74,Green
90,Woodland,Woodland Pro,Casual,10,4200,66,Green
91,Metro,Metro Zoom,Formal,9,3600,98,Navy
92,Liberty,Liberty Prime,Formal,6,600,72,Gray
93,Puma,Puma Prime,Flip-flops,8,1500,61,Green
94,Nike,Nike Ultra,Running,9,4700,16,Brown
95,Woodland,Woodland Max,Running,10,1900,15,Blue
96,Metro,Metro Zoom,Sports,11,3200,87,Gray
97,Nike,Nike Zoom,Sandals,10,5300,55,Gray
98,Nike,Nike Elite,Casual,7,3800,44,Red
99,Metro,Metro Elite,Running,9,5300,37,Red
100,Bata,Bata Ultra,Formal,11,1400,95,Navy
